NameSup,CueSup,TestSup,AnswerSup,NameSub,CueSub,TestSub,AnswerSub,SupraTrials.thisRepN,SupraTrials.thisTrialN,SupraTrials.thisN,SupraTrials.thisIndex,SupraTests.thisRepN,SupraTests.thisTrialN,SupraTests.thisN,SupraTests.thisIndex,DistractorTrials.thisRepN,DistractorTrials.thisTrialN,DistractorTrials.thisN,DistractorTrials.thisIndex,SubliTrials.thisRepN,SubliTrials.thisTrialN,SubliTrials.thisN,SubliTrials.thisIndex,SubliTests.thisRepN,SubliTests.thisTrialN,SubliTests.thisN,SubliTests.thisIndex,polygon1.started,polygon1.stopped,welcome.started,welcome.stopped,polygon.started,polygon.stopped,ForenameSup.started,ForenameSup.stopped,CueSup1.started,CueSup1.stopped,BlankSup.started,BlankSup.stopped,polygon_2.started,polygon_2.stopped,dis1.started,dis1.stopped,polygon_3.started,polygon_3.stopped,instruction.started,instruction.stopped,dis1key.keys,dis1key.rt,dis1key.started,dis1key.stopped,polygon_4.started,polygon_4.stopped,suptest.started,suptest.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,distractor1.started,distractor1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_7.started,polygon_7.stopped,textphase2.started,textphase2.stopped,polygon_6.started,polygon_6.stopped,ForenameSub.started,ForenameSub.stopped,Mask1.started,Mask1.stopped,Cue.started,Cue.stopped,Mask2.started,Mask2.stopped,blank1.started,blank1.stopped,polygon_8.started,polygon_8.stopped,SubTest.started,SubTest.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,age,sex,occupation,date,expName,psychopyVersion,frameRate,
,,Paris,n,,,,,,,,,0,12,12,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.08000770000217,None,165.08000770000217,None,o,0,0.07355980000284035,165.08000770000217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Julio,o,,,,,,,,,0,13,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1871863999986,None,165.1871863999986,None,n,0,0.09835399998701178,165.1871863999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Reese,n,,,,,,,,,0,14,14,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.32878419999906,None,165.32878419999906,None,o,0,0.08408529999724124,165.32878419999906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Josef,n,,,,,,,,,0,15,15,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.47305290000804,None,165.47305290000804,None,n,1,0.06616489999578334,165.47305290000804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Julie,o,,,,,,,,,0,16,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.57727610001166,None,165.57727610001166,None,o,1,0.10379389999434352,165.57727610001166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Moses,n,,,,,,,,,0,17,17,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.72701900001266,None,165.72701900001266,None,n,1,0.08049959999334533,165.72701900001266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Robin,o,,,,,,,,,0,18,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.83353740000166,None,165.83353740000166,None,o,1,0.07276809999893885,165.83353740000166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Myles,n,,,,,,,,,0,19,19,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.9533201000013,None,165.9533201000013,None,n,1,0.0857321000075899,165.9533201000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Norah,n,,,,,,,,,0,20,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.06452680000803,None,166.06452680000803,None,o,0,0.09632650000276044,166.06452680000803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Missy,o,,,,,,,,,0,21,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.19936020000023,None,166.19936020000023,None,n,0,0.09786940000776667,166.19936020000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
